frame,time_s,lit_pixels,display_sha256
190,22.406864279004367,82,38b559abe6245979efd976db39c9ba5236de1c94094d8c2d8b849f53eb74756d
191,22.469364279004367,82,c5dbc0489cc1b6ec9d1e5c475f3a6a3e4a59dbb0e431fab8a6797f590b7a4d7b
192,22.531864279004367,91,5feea6f7eb4a2fa4f6ab99872d6a582df8158dec82500bd08fb4ad0d1044f325
193,22.594364279004367,89,f109694fdae3c8fbb9d5d7c39cf3b1d74420cda6842dc46358581640c11d8dd3
194,22.656864279004367,86,443df921a9fde0df435ff483854900e52d5a7af11e3f46649d4b1f97c65b9169
195,22.719364279004367,87,e59d3c5ae7c98a0f40ec0057fd29275a0eff34773637933df74447781bee0324
196,22.781864279004367,96,fe7aaba507926f4822cde4cdb6b5831f37ee28dc898dec57ba4655ca11643887
197,22.844364279004367,97,87439602d68112d680d71d8cd16686fe399e4a70a31aa47a3c5b0518f9a30261
198,22.906864279004367,97,58aa179fb88d7c8dd360bc852acf44a80173c2a9781e6fc2c7fbee46c3167773
199,22.969364279004367,98,137d0989a0f3ce9e0b0fc442473ca8242d3c7ef812f0ed313fc82dce13f192ee
200,23.031864279004367,92,0a71cbc26041a4bdb66c141a0bdfe9517a78eefd7da0e8fdd6282fa058f0b067
201,23.094364279004367,92,405406cab2ba824b0d9b3133ecc3407a9fdffdcbcf1dc4acdf1e815d32d1e41d
202,23.156864279004367,92,d298456540b3f8640359e0479f2332fccd3c18036b032a763e2657a9d2e7ca66
203,23.219364279004367,102,9ed5d0e7df5f6459a857a082711323a23176221eb93842bef5886dcbcd0a9bc7
204,23.281864279004367,100,3e13ea9314da0a1d7c2fcc8750a420dfa0912e2f9eb6f8186b6bf1f8cf5b59e1
205,23.344364279004367,98,744782cd16ff961315d81657df6127694919daed270efef73ee4e48b2907714c
206,23.406864279004367,97,ba48cf6b6201debece83960843462c74fa6258ebb62c131bbc11ef1024f7be59
207,23.469364279004367,104,d825601e0ebdbd19e49bc5a7b04856e586310f2a6fc6f883a3027afb9a421006
208,23.531864279004367,96,51701b33171c93e0155838caeeee1037bb19ef214458bb534599130e4999de1b
209,23.594364279004367,101,b24a819cd0e005b99b7168aa3a3c33e9513a3188ac63829c77fcdc48b319b6c0
210,23.656864279004367,111,a34e5ffabb6afc5da398e35919eb7fe52a0955b1891a5caec655db6c0fd37ffd
211,23.719364279004367,111,806c9bd18a2ed5d0b6db36a5430ead39336c7bcfd6981f7bd158e4e47c370b4b
212,23.781864279004367,118,304d094935503d2ae679c831dd86100d5c7f98aa03172d2d5181be332c942d86
