# HITEMP pruned exponential-sum Planck-mean surface v1
# T_grid 300.0 2500.0 50.0
# columns T_gas T_rad kappaP_cm2_per_molecule d_dTgas d_dTrad d2_dTgas_dTrad
450.0 400.0 1.43666316621898012e-20 6.10039362818147140e-25 5.81787543061778506e-23 4.16712196818842953e-27
450.0 450.0 1.76407997735706042e-20 7.92929931127559285e-25 7.09259480439245988e-23 3.08119488848555700e-27
450.0 500.0 2.12774484179072688e-20 9.14894779573442971e-25 7.28891095923454682e-23 1.79470938958637958e-27
450.0 550.0 2.47912691471214668e-20 9.74271000079376137e-25 6.65691173675667558e-23 6.14748522553076982e-28
450.0 600.0 2.78533286433827360e-20 9.80645079249704207e-25 5.53662219056240624e-23 -3.12598084007492781e-28
450.0 650.0 3.02951884226296947e-20 9.47739055864726767e-25 4.21692987165624176e-23 -9.58248121541425782e-28
450.0 700.0 3.20705656896889656e-20 8.88984550204682063e-25 2.89627299504161258e-23 -1.35470588674730607e-27
450.0 750.0 3.32109020319278333e-20 8.15510009030284085e-25 1.69023510364581420e-23 -1.55664337740655804e-27
450.0 800.0 3.37892253007385183e-20 7.35635475863885829e-25 6.53456032803557561e-24 -1.61935322796367039e-27
450.0 850.0 3.38952451033258024e-20 6.55110301516333223e-25 -1.98733988892887380e-24 -1.58955041914152737e-27
450.0 900.0 3.36200957421033893e-20 5.77620153003755369e-25 -8.73658738908918552e-24 -1.50302359875147670e-27
450.0 950.0 3.30480403248562129e-20 5.05320863211935674e-25 -1.38999217921420277e-23 -1.38544827525751945e-27
450.0 1000.0 3.22527025627293426e-20 4.39298018827692301e-25 -1.77073420450520513e-23 -1.25430749017371376e-27
450.0 1050.0 3.12960102547703148e-20 3.79924972368054150e-25 -2.03918761193979559e-23 -1.12093031872405040e-27
450.0 1100.0 3.02286270426908176e-20 3.27125031919801020e-25 -2.21687655253139422e-23 -9.92251295409975048e-28
450.0 1150.0 2.90911041462289474e-20 2.80555175088950093e-25 -2.32264452982479443e-23 -8.72186760983072397e-28
450.0 1200.0 2.79152980126287812e-20 2.39730184990174505e-25 -2.37242620465556319e-23 -7.62650635189229246e-28
450.0 1250.0 2.67258028346643701e-20 2.04103676278759537e-25 -2.37937542751384463e-23 -6.64275080987814364e-28
450.0 1300.0 2.55412716367986686e-20 1.73118979912116811e-25 -2.35415917072667959e-23 -5.76906710042674779e-28
450.0 1350.0 2.43755728073954792e-20 1.46239525666986092e-25 -2.30530865276554234e-23 -4.99939606493445236e-28
450.0 1400.0 2.32387696847968093e-20 1.22965622264130776e-25 -2.23956924295149441e-23 -4.32533340971831671e-28
450.0 1450.0 2.21379318674649204e-20 1.02842442680321843e-25 -2.16222063444502749e-23 -3.73751802402451119e-28
450.0 1500.0 2.10777964865666307e-20 8.54624937660453945e-26 -2.07735587596233644e-23 -3.22648568962335947e-28
450.0 1550.0 2.00613008092983706e-20 7.04647653282641809e-26 -1.98811716384172736e-23 -2.78316835761496675e-28
450.0 1600.0 1.90900072715455096e-20 5.75320013889518361e-26 -1.89689099648023906e-23 -2.39916288833204168e-28
450.0 1650.0 1.81644401425788137e-20 4.63870226856147362e-26 -1.80546734963093642e-23 -2.06685316533220317e-28
450.0 1700.0 1.72843505018511583e-20 3.67886838453827020e-26 -1.71516813198558957e-23 -1.77944163805863292e-28
450.0 1750.0 1.64489235951864396e-20 2.85278192428297066e-26 -1.62695002759024381e-23 -1.53092722502357989e-28
450.0 1800.0 1.56569402012837287e-20 2.14233814413566763e-26 -1.54148632857057144e-23 -1.31605353812271366e-28
450.0 1850.0 1.49069014927481304e-20 1.53188795434679422e-26 -1.45923173276337590e-23 -1.13024268245035450e-28
450.0 1900.0 1.41971250488462449e-20 1.00791639581170133e-26 -1.38047344473757393e-23 -9.69524102253184404e-29
450.0 1950.0 1.35258181571594861e-20 5.58756691336112596e-27 -1.30537133288674495e-23 -8.30464143533296694e-29
450.0 2000.0 1.28911332962737825e-20 1.74338630328548965e-27 -1.23398938308258520e-23 -7.10099539108177261e-29
450.0 2050.0 1.22912096830582901e-20 -1.54031133966301583e-27 -1.16632025570011205e-23 -6.05876449300463212e-29
