# HITEMP pruned exponential-sum Planck-mean surface v1
# T_grid 300.0 2500.0 50.0
# columns T_gas T_rad kappaP_cm2_per_molecule d_dTgas d_dTrad d2_dTgas_dTrad
450.0 2150.0 2.26047045511814161e-21 2.56921302190955043e-25 -1.69775608343783489e-24 -3.61361121042699491e-28
450.0 2200.0 2.17748873866699559e-21 2.39644244511665096e-25 -1.62214735443699824e-24 -3.30288081392204717e-28
450.0 2250.0 2.09819386713740770e-21 2.23839295531660853e-25 -1.55025016804809940e-24 -3.02408938778064228e-28
450.0 2300.0 2.02240498766145286e-21 2.09356462530852254e-25 -1.48187737325531972e-24 -2.77344767436382439e-28
450.0 2350.0 1.94995034356987646e-21 1.96063396411923937e-25 -1.41685205580271645e-24 -2.54767373158007217e-28
450.0 2400.0 1.88066679196979129e-21 1.83843049563932513e-25 -1.35500642096001393e-24 -2.34391742852455657e-28
450.0 2450.0 1.81439936924207245e-21 1.72591679307558863e-25 -1.29618097584817901e-24 -2.15969730682250471e-28
450.0 2500.0 1.75100089192415076e-21 1.62217140826643692e-25 -1.24022391873887950e-24 -1.99284759495237021e-28
500.0 300.0 2.80490589422389471e-20 2.75019902387081421e-23 -1.63333641257982788e-22 -1.13891487775343963e-25
500.0 350.0 2.16331995295540208e-20 2.21345683357221798e-23 -9.95499235110187238e-23 -9.88107351157391989e-26
500.0 400.0 1.76244202465207519e-20 1.76876326814715980e-23 -6.42357042522183980e-23 -7.91650605297194842e-26
500.0 450.0 1.49561449930193506e-20 1.41773409179711341e-23 -4.43223866087925326e-23 -6.18072086709990790e-26
500.0 500.0 1.30580305835099572e-20 1.14480414520144964e-23 -3.25689891293340108e-23 -4.79404097568458683e-26
500.0 550.0 1.16277050680786149e-20 9.33008385314267332e-24 -2.51674077202136128e-23 -3.72587002352751484e-26
500.0 600.0 1.05017210274326945e-20 7.67949787700535450e-24 -2.01701981232148354e-23 -2.91390744870470195e-26
